"modelkey";"modelid";"akey";"modelf";"typef";"first_year";"count_runs";"count_years";"lambda_mean";"lambda_min";"lambda_max";"lambda_sd";"lambda_boot_lcl";"lambda_boot_ucl";"lambda_q25";"lambda_q75";"gen_mean";"gen_med";"gen_min";"gen_max";"gen_sd";"gen_boot_lcl";"gen_boot_ucl";"gen_q25";"gen_q75";"gen_age_mean";"gen_age_med";"gen_age_min";"gen_age_max";"gen_age_sd";"gen_age_boot_lcl";"gen_age_boot_ucl";"gen_age_q25";"gen_age_q75";"life_exp_mean";"life_exp_med";"life_exp_min";"life_exp_max";"life_exp_sd";"life_exp_boot_lcl";"life_exp_boot_ucl";"life_exp_q25";"life_exp_q75";"life_exp_adult_mean";"life_exp_adult_med";"life_exp_adult_min";"life_exp_adult_max";"life_exp_adult_sd";"life_exp_adult_boot_lcl";"life_exp_adult_boot_ucl";"life_exp_adult_q25";"life_exp_adult_q75";"eggs_to_adult_mean";"eggs_to_adult_med";"eggs_to_adult_min";"eggs_to_adult_max";"eggs_to_adult_sd";"eggs_to_adult_boot_lcl";"eggs_to_adult_boot_ucl";"eggs_to_adult_q25";"eggs_to_adult_q75";"fem_t0";"fem_t35";"fem_t41";"fem_t45";"fem_t100";"fem_sd_t35";"fem_sd_t41";"fem_sd_t45";"fem_sd_t100";"fem_q25_t35";"fem_q25_t41";"fem_q25_t45";"fem_q25_t100";"fem_q75_t35";"fem_q75_t41";"fem_q75_t45";"fem_q75_t100";"fem_diff_t35";"fem_diff_t41";"fem_diff_t45";"fem_diff_t100";"fem_diff_sd_t35";"fem_diff_sd_t41";"fem_diff_sd_t45";"fem_diff_sd_t100";"fem_diff_q25_t35";"fem_diff_q25_t41";"fem_diff_q25_t45";"fem_diff_q25_t100";"fem_diff_q75_t35";"fem_diff_q75_t41";"fem_diff_q75_t45";"fem_diff_q75_t100";"change50_ymean";"change50_ysd";"change50_yq25";"change50_yq75";"change30_ymean";"change30_ysd";"change30_yq25";"change30_yq75"
1;"poun_base_0_1";"poun_base_0";"Deterministic";"base";0;1;101;0,930057214617213;0,930057214617213;0,930057214617213;NA;NA;NA;0,930057214617213;0,930057214617213;101,998649897405;101,998649897405;101,998649897405;101,998649897405;NA;NA;NA;101,998649897405;101,998649897405;16259,5894927427;16259,5894927427;16259,5894927427;16259,5894927427;NA;NA;NA;16259,5894927427;16259,5894927427;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;NA;NA;NA;21,3928630749992;21,3928630749992;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;NA;NA;NA;14,2857142857143;14,2857142857143;249999,10000285;249999,10000285;249999,10000285;249999,10000285;NA;NA;NA;249999,10000285;249999,10000285;10;0;0;0;0;NA;NA;NA;NA;0;0;0;0;0;0;0;0;-1;-1;-1;-1;NA;NA;NA;NA;-1;-1;-1;-1;-1;-1;-1;-1;8;NA;8;8;4;NA;4;4
2;"poun_base_0_2";"poun_base_0";"Stochastic uniform";"base";0;50;101;0,935067102101255;0,931937097350437;0,937576745550109;0,00145432337716361;0,934653527899946;0,935462112460574;0,933816980083661;0,936166833500191;93,3669864356386;93,4965423600178;89,0430574594818;98,759751787924;2,50569099530517;92,6868178326476;94,0961433725354;91,4722310415923;95,5208536784433;16259,5894927427;16259,5894927427;16259,5894927427;16259,5894927427;0;16259,5894927427;16259,5894927427;16259,5894927427;16259,5894927427;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;0;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;0;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;249999,10000285;249999,10000285;249999,10000285;249999,10000285;0;249999,10000285;249999,10000285;249999,10000285;249999,10000285;10;1,50505530804507;1,01711317390434;0,776451212479878;0,020389286080592;0,149285765363471;0,110634641116249;0,0906842430024957;0,00346801590663509;1,38214735625025;0,937982506688955;0,708659857263636;0,017591472624436;1,62837007887507;1,10280055551375;0,838920897797805;0,0233912709379123;-0,84942;-0,89828;-0,9223;-0,99788;0,0149394560456121;0,0112086701135454;0,00910539198855854;0,000385449644663773;-0,862;-0,906;-0,929;-0,998;-0,837;-0,88925;-0,916;-0,998;17;0,815412753876019;17;18;12;0,857142857142857;11;13
3;"poun_base_0_3";"poun_base_0";"Stochastic equal";"base";0;50;101;0,941599694599208;0,938046716233415;0,945566247166311;0,00208272765376718;0,941063693034898;0,942192092645516;0,940044091637465;0,943216393749781;82,111815505193;81,7555367131501;75,2777404941886;88,2333329321116;3,5883848184408;81,139741210085;83,0834849380372;79,3263631310395;84,7920036907883;16259,5894927427;16259,5894927427;16259,5894927427;16259,5894927427;0;16259,5894927427;16259,5894927427;16259,5894927427;16259,5894927427;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;0;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;0;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;249999,10000285;249999,10000285;249999,10000285;249999,10000285;0;249999,10000285;249999,10000285;249999,10000285;249999,10000285;10;1,86050433198684;1,30506723751833;1,03901117253082;0,0431513660702321;0,222278998434697;0,192462430228163;0,166068736033942;0,010159930515705;1,69692691023507;1,14420271522723;0,927656169749005;0,0348524521037539;2,00058169751034;1,39197140405266;1,15285404607283;0,0509748342297426;-0,81388;-0,8695;-0,89614;-0,99574;0,0222055701781957;0,0193372327758801;0,0166341301460066;0,00104608112222988;-0,83025;-0,886;-0,907;-0,99675;-0,80025;-0,861;-0,885;-0,995;18;1,30993067272545;18;20;12;1,20356612970432;12;13
4;"poun_base_0_4";"poun_base_0";"Stochastic bad x2";"base";0;50;101;0,945340661238324;0,940396569649945;0,949795983316065;0,00210657136486961;0,944776696418357;0,945876662802634;0,944156335116393;0,946506188532923;75,6664082673262;76,0874650215587;67,9902197478569;84,1847102952606;3,62946575899513;74,6299608722924;76,7028556623601;73,6582914394482;77,7069140762991;16259,5894927427;16259,5894927427;16259,5894927427;16259,5894927427;0;16259,5894927427;16259,5894927427;16259,5894927427;16259,5894927427;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;0;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;0;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;249999,10000285;249999,10000285;249999,10000285;249999,10000285;0;249999,10000285;249999,10000285;249999,10000285;249999,10000285;10;2,14417737196045;1,55225836239327;1,24182855078508;0,0646592282590302;0,296241504502655;0,209436390557219;0,172632896609828;0,0140312444703614;1,9990215984709;1,41424100281387;1,13615999175365;0,0561118999469006;2,30301466863744;1,67022192332018;1,31865167333287;0,0735775695281279;-0,78562;-0,84472;-0,8758;-0,9935;0,0295868765723272;0,0209762158802073;0,017256764423476;0,00147426910289645;-0,8;-0,8585;-0,886;-0,994;-0,77;-0,833;-0,86825;-0,993;20;1,97628800677287;19;21;13;1,41781666009137;13;14
5;"poun_base_0_5";"poun_base_0";"Stochastic bad x4";"base";0;50;101;0,948348473611482;0,943686364433087;0,953555748782513;0,00231767508892505;0,947671715827522;0,949025231395443;0,946506188532923;0,949326012632759;70,484171292157;70,0145310662823;61,5124235288953;78,5166386036693;3,99318177205458;69,4793031536907;71,5858015116442;68,799944275227;73,6582914394482;16259,5894927427;16259,5894927427;16259,5894927427;16259,5894927427;0;16259,5894927427;16259,5894927427;16259,5894927427;16259,5894927427;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;0;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;0;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;247501,608993821;249999,10000285;125124,549551426;249999,10000285;17659,9282843647;242506,626975765;249999,10000285;249999,10000285;249999,10000285;10;2,38266285299306;1,77066444527141;1,44038327544598;0,0892227794156791;0,322344943847465;0,253654798901762;0,212510582731353;0,0219279748668978;2,17767363526919;1,63041390953705;1,30232518385082;0,0715028660157966;2,59680505226125;1,90333978092417;1,56515460244253;0,099065237613042;-0,76176;-0,82288;-0,85596;-0,99104;0,0321841385702679;0,0253382343988088;0,0212420069000756;0,00219424107097443;-0,782;-0,83675;-0,86975;-0,993;-0,74;-0,8095;-0,84375;-0,99;21;1,96385709609369;20;22;14;1,54932506700992;13;15
6;"poun_base_0.1_1";"poun_base_0.1";"Deterministic";"base";0,1;1;101;0,977054282947812;0,977054282947812;0,977054282947812;NA;NA;NA;0,977054282947812;0,977054282947812;21,0261971603859;21,0261971603859;21,0261971603859;21,0261971603859;NA;NA;NA;21,0261971603859;21,0261971603859;24,695504448313;24,695504448313;24,695504448313;24,695504448313;NA;NA;NA;24,695504448313;24,695504448313;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;NA;NA;NA;21,3928630749992;21,3928630749992;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;NA;NA;NA;14,2857142857143;14,2857142857143;249,99910000285;249,99910000285;249,99910000285;249,99910000285;NA;NA;NA;249,99910000285;249,99910000285;10;4;3;3;0;NA;NA;NA;NA;4;3;3;0;4;3;3;0;-0,6;-0,7;-0,7;-1;NA;NA;NA;NA;-0,6;-0,7;-0,7;-1;-0,6;-0,7;-0,7;-1;23;NA;23;23;10;NA;10;10
7;"poun_base_0.1_2";"poun_base_0.1";"Stochastic uniform";"base";0,1;50;101;0,972053794877436;0,968124839964998;0,974704429531282;0,00169253375501595;0,971583589208789;0,97250496673341;0,970944664064834;0,973294517481364;29,6416661316047;29,5283046977729;25,0748197972368;36,4109631804195;2,91610975645921;28,8967195664241;30,4517955212386;27,5039933793474;31,5526160161983;24,695504448313;24,695504448313;24,695504448313;24,695504448313;0;24,695504448313;24,695504448313;24,695504448313;24,695504448313;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;0;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;0;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;249,99910000285;249,99910000285;249,99910000285;249,99910000285;0;249,99910000285;249,99910000285;249,99910000285;249,99910000285;10;5,0527078824616;4,27599945224667;3,83922307028761;0,840927103984897;0,349343124990394;0,327651024309575;0,322540209232935;0,124715491270808;4,87755290222863;4,08007624714656;3,56836353172928;0,750037642894124;5,32621190116895;4,48812191914762;4,07452355003105;0,954316849050606;-0,49466;-0,5724;-0,61608;-0,91586;0,0349516342206466;0,0326534056104288;0,0321341829565607;0,012534051578783;-0,512;-0,592;-0,643;-0,925;-0,467;-0,55125;-0,5925;-0,90425;35;2,57142857142857;34;37;23;2,07177337031809;22;25
8;"poun_base_0.1_3";"poun_base_0.1";"Stochastic equal";"base";0,1;50;101;0,965004234627846;0,960605309032102;0,968124839964998;0,00188409815184202;0,964505830718201;0,965521202379483;0,963542625802765;0,966244957231774;41,7875340421575;41,2693103446406;36,4109631804195;49,3665556183425;3,24616096218505;40,8968370620503;42,7430089844544;39,6498612899002;44,3057773222788;24,695504448313;24,695504448313;24,695504448313;24,695504448313;0;24,695504448313;24,695504448313;24,695504448313;24,695504448313;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;0;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;0;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;249,99910000285;249,99910000285;249,99910000285;249,99910000285;0;249,99910000285;249,99910000285;249,99910000285;249,99910000285;10;4,08833287036513;3,30959375539243;2,89045432675892;0,447908595924938;0,393773371930372;0,361629263195153;0,354170517810883;0,071866953538034;3,81970631361208;3,05967713041003;2,63516011909996;0,399298039807965;4,35218905277687;3,54399709626533;3,14247168721457;0,485064690913838;-0,59118;-0,66904;-0,71094;-0,9552;0,0392941237752581;0,03614594001533;0,0354472358670213;0,00715427658602796;-0,61825;-0,69375;-0,7365;-0,96;-0,5645;-0,6455;-0,6855;-0,95125;29;2,81424945589406;28;31;19;2,38883457197121;18;21
9;"poun_base_0.1_4";"poun_base_0.1";"Stochastic bad x2";"base";0,1;50;101;0,961526451571382;0,957315514248961;0,96671492791508;0,00204516332097499;0,961009248834404;0,962062218150351;0,960135338348796;0,962955162448632;47,7794955446969;48,5568310909723;38,84013676253;55,0346273099338;3,52366426735841;46,8070163873253;48,7681691926159;45,3179329814916;50,1762801457127;24,695504448313;24,695504448313;24,695504448313;24,695504448313;0;24,695504448313;24,695504448313;24,695504448313;24,695504448313;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;0;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;0;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;249,99910000285;249,99910000285;249,99910000285;249,99910000285;0;249,99910000285;249,99910000285;249,99910000285;249,99910000285;10;3,76011430640961;2,99269869385386;2,57316718696488;0,320713060609654;0,488904757788381;0,429603890329348;0,372674006974194;0,0638520553836014;3,4165320640047;2,70321929895283;2,29204935890732;0,27870778382041;4,09865645856847;3,28453699592902;2,75881511754969;0,361111422516845;-0,62404;-0,7007;-0,7427;-0,96792;0,0488821823889036;0,0429348105758448;0,0372915977843015;0,00647708677271075;-0,658;-0,72975;-0,77125;-0,972;-0,59;-0,6715;-0,724;-0,964;28;2,91120285119679;26;30;19;2,33867222053499;18;20
10;"poun_base_0.1_5";"poun_base_0.1";"Stochastic bad x4";"base";0,1;50;101;0,958048668514918;0,950735924682677;0,962485191765326;0,0023260617982838;0,95739070955829;0,958650230989549;0,956845543565655;0,959195396982184;53,7714570472363;53,4151782551935;46,1276575088618;66,3707706931165;4,00763144841297;52,621243356107;54,9050713855546;51,7957292004531;55,844351837304;24,695504448313;24,695504448313;24,695504448313;24,695504448313;0;24,695504448313;24,695504448313;24,695504448313;24,695504448313;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;0;21,3928630749992;21,3928630749992;21,3928630749992;21,3928630749992;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;0;14,2857142857143;14,2857142857143;14,2857142857143;14,2857142857143;10239,9631361167;249,99910000285;249,99910000285;249999,10000285;49437,5007895288;249,99910000285;25224,9091902876;249,99910000285;249,99910000285;10;3,29481216375238;2,58236879238031;2,18167854505085;0,230067192742523;0,497229453552771;0,385645690657593;0,358192700153136;0,048464210990013;2,9328106794998;2,3527209808278;1,94485267863812;0,205562592037711;3,51762083486938;2,80074053866197;2,39887130768245;0,255833910103438;-0,6705;-0,74184;-0,78182;-0,977;0,0496729097112669;0,0385388010149962;0,0358600966341733;0,00495283880667421;-0,70625;-0,7645;-0,80575;-0,97975;-0,648;-0,72025;-0,75975;-0,97425;25;2,91372543633873;23;27;17;2,53497977289358;15;19
