"modelkey";"modelid";"akey";"modelf";"typef";"first_year";"count_runs";"count_years";"lambda_mean";"lambda_min";"lambda_max";"lambda_sd";"lambda_boot_lcl";"lambda_boot_ucl";"lambda_q25";"lambda_q75";"gen_mean";"gen_min";"gen_max";"gen_sd";"gen_boot_lcl";"gen_boot_ucl";"gen_q25";"gen_q75"
1;"poun_base_0_1";"poun_base_0";"Deterministic";"base";0;1;101;0,930057214617213;0,930057214617213;0,930057214617213;NA;NA;NA;0,930057214617213;0,930057214617213;101,998649897405;101,998649897405;101,998649897405;NA;NA;NA;101,998649897405;101,998649897405
2;"poun_base_0_2";"poun_base_0";"Stochastic uniform";"base";0;50;101;0,934794519104938;0,931937097350437;0,938516686916721;0,00134559025036021;0,934418542558293;0,935151931809592;0,933816980083661;0,935226892133579;93,8366266615133;87,4236084047414;98,759751787924;2,31835190621343;93,1078745868801;94,4362276740309;93,0916800963327;95,5208536784433
3;"poun_base_0_3";"poun_base_0";"Stochastic equal";"base";0;50;101;0,941721886976868;0,937576745550109;0,946036217849617;0,00189347711596915;0,941214318638897;0,94222969030018;0,940396569649945;0,943098901078954;81,9012871280767;74,4680159668184;89,0430574594818;3,26232021969798;80,9943956574221;82,7923889704476;79,528794262882;84,1847102952606
4;"poun_base_0_4";"poun_base_0";"Stochastic bad x2";"base";0;50;101;0,946534386773921;0,941336511016557;0,950265953999371;0,00202177709722738;0,94597982136762;0,947023156284559;0,945566247166311;0,94826857859532;73,609707967806;67,1804952204867;82,5652612405203;3,48337154348509;72,6862171443403;74,5489884195554;70,62182446181;75,2777404941886
5;"poun_base_0_5";"poun_base_0";"Stochastic worst x4";"base";0;50;101;0,949138024359436;0,944156335116393;0,954495690149125;0,00214843740939879;0,948573824554128;0,949730422405744;0,947563622570361;0,950735924682677;69,1238340861751;59,892974474155;77,7069140762991;3,70159783940658;68,1517597910672;70,1926704623038;66,3707706931165;71,8364112528653
6;"poun_base_0.1_1";"poun_base_0.1";"Deterministic";"base";0,1;1;101;0,977054282947812;0,977054282947812;0,977054282947812;NA;NA;NA;0,977054282947812;0,977054282947812;21,0261971603859;21,0261971603859;21,0261971603859;NA;NA;NA;21,0261971603859;21,0261971603859
7;"poun_base_0.1_2";"poun_base_0.1";"Stochastic uniform";"base";0,1;50;101;0,972514366147076;0,970004722698222;0,975174400214588;0,001279551011872;0,97218515168342;0,972852745039056;0,97141463474814;0,973294517481364;28,8481360947819;24,2650952698666;33,1720650709387;2,20457121079518;28,2161461011695;29,4477371072995;27,5039933793474;30,7428914888282
8;"poun_base_0.1_3";"poun_base_0.1";"Stochastic equal";"base";0,1;50;101;0,965182823487503;0,960605309032102;0,970004722698222;0,00200925297088405;0,964590660426537;0,965690391825473;0,963895103815244;0,96671492791508;41,4798387217569;33,1720650709387;49,3665556183425;3,46179340543457;40,6045265076697;42,41952403577;38,84013676253;43,6984839267512
9;"poun_base_0.1_4";"poun_base_0.1";"Stochastic bad x2";"base";0,1;50;101;0,96087789202842;0,955435631515737;0,965305015865162;0,00199637935947259;0,960332491050443;0,96139532975074;0,95966536766549;0,96201522108202;48,8969153924678;41,2693103446406;58,2735254194146;3,43961313060899;47,9090514690762;49,8042117253861;46,9373820362319;50,9860046730829
10;"poun_base_0.1_5";"poun_base_0.1";"Stochastic worst x4";"base";0,1;50;101;0,958941612813199;0,953555748782513;0,963895103815244;0,00224731087725897;0,958321016525894;0,959590172356161;0,957785484932267;0,960135338348796;52,232980445233;43,6984839267512;61,5124235288953;3,87194946957498;51,2766957784088;53,2856223308142;50,1762801457127;54,2249027825636
11;"poun_base_0.2_1";"poun_base_0.2";"Deterministic";"base";0,2;1;101;1,01202568197873;1,01202568197873;1,01202568197873;NA;NA;NA;1,01202568197873;1,01202568197873;17,1545537830033;17,1545537830033;17,1545537830033;NA;NA;NA;17,1545537830033;17,1545537830033
12;"poun_base_0.2_2";"poun_base_0.2";"Stochastic uniform";"base";0,2;50;101;1,00053345105065;0,995654100683792;1,00676891603542;0,00280395034994293;0,999772469848377;1,00129190210138;0,998430040499528;1,00244103537003;25,746175420823;20,009608136626;30,3070489716756;2,57484592773148;25,0131588857308;26,4412792063116;24,2130965085722;27,7520469798001
13;"poun_base_0.2_3";"poun_base_0.2";"Stochastic equal";"base";0,2;50;101;0,983255406347013;0,97529329662509;0,990758104819463;0,00360755253072039;0,982296966273315;0,984346682702154;0,98059394685251;0,98561053948046;39,130504330675;30,1167873846866;47,7404653998418;4,18864502557417;38,0166634208662;40,2757512615191;36,0647230756682;41,8788115393814
14;"poun_base_0.2_4";"poun_base_0.2";"Stochastic bad x2";"base";0,2;50;101;0,973298266728738;0,965719706105063;0,97999300345815;0,00309788892444933;0,972428237958056;0,974101596405191;0,971181393216786;0,975107723611878;46,3853280699893;39,2980928040556;56,3023078788296;3,90592837151996;45,3033104084516;47,4013809132824;43,9725369078511;49,4672147929303
15;"poun_base_0.2_5";"poun_base_0.2";"Stochastic worst x4";"base";0,2;50;101;0,965491521127092;0,959981913389757;0,97345763824659;0,00290167281954424;0,964708300859052;0,966339977598035;0,963670494421025;0,967340067367725;51,7957715798252;41,8821321212615;60,7380948534188;3,93925782534349;50,6972707147778;52,8785989303581;48,9204864844735;54,550671887761
16;"poun_base_0.3_1";"poun_base_0.3";"Deterministic";"base";0,3;1;101;1,04051420532558;1,04051420532558;1,04051420532558;NA;NA;NA;1,04051420532558;1,04051420532558;15,3727674002214;15,3727674002214;15,3727674002214;NA;NA;NA;15,3727674002214;15,3727674002214
17;"poun_base_0.3_2";"poun_base_0.3";"Stochastic uniform";"base";0,3;50;101;1,02281700531255;1,01618975243163;1,03212370181411;0,00375669373461654;1,02177520457067;1,02379000734325;1,01992629696654;1,02514978309365;24,9197008058772;18,4238182559501;31,3611663329259;2,60842546286768;24,2216861897384;25,6670952251815;22,9671159968154;26,785040353023
18;"poun_base_0.3_3";"poun_base_0.3";"Stochastic equal";"base";0,3;50;101;0,996447908717886;0,988174502859267;1,00368631143466;0,00382407632001156;0,995350741327136;0,99751410864944;0,993433167386969;0,998938774725378;38,8941807394958;32,774523772967;44,4498729417596;2,96910895795671;38,0911637479645;39,7390007772473;36,7948792610172;40,6032311330611
19;"poun_base_0.3_4";"poun_base_0.3";"Stochastic bad x2";"base";0,3;50;101;0,983741139752646;0,974895749036154;0,994331951618463;0,00417264800330622;0,98255753757668;0,984873758859047;0,980642320450744;0,986270705187934;45,462607311829;37,9155424251964;51,6060807319408;3,3193544004296;44,539315723439;46,3879380856822;43,4992629740753;47,6139923926915
20;"poun_base_0.3_5";"poun_base_0.3";"Stochastic worst x4";"base";0,3;50;101;0,971725900312468;0,964484649189095;0,983567679752352;0,00463776613075587;0,970434525068135;0,973039800097076;0,968268329593652;0,975001284237926;52,353356073349;41,9459207011002;60,4948061720657;4,02184673111241;51,1950901955609;53,4078282066039;49,7609447904839;54,7984673316736
21;"poun_base_0.4_1";"poun_base_0.4";"Deterministic";"base";0,4;1;101;1,06484801116801;1,06484801116801;1,06484801116801;NA;NA;NA;1,06484801116801;1,06484801116801;14,2954343536476;14,2954343536476;14,2954343536476;NA;NA;NA;14,2954343536476;14,2954343536476
22;"poun_base_0.4_2";"poun_base_0.4";"Stochastic uniform";"base";0,4;50;101;1,04298968959566;1,03186829905125;1,05237087696395;0,00499465318125876;1,0415608474442;1,04430661493124;1,04002673645182;1,0460458192333;23,8009991653865;18,5439468841391;29,2029480055247;2,5551823935491;23,115394689507;24,5431234235182;22,0352485988725;25,4255888715049
23;"poun_base_0.4_3";"poun_base_0.4";"Stochastic equal";"base";0,4;50;101;1,009686605603;0,99590881257341;1,02625471284356;0,00618933701704781;1,00799611694001;1,01145684134907;1,00656155263066;1,01256513439104;37,8203455030342;27,3122354479532;44,1777692854692;3,68503324185806;36,7852198959423;38,8161850206751;35,8133264900594;40,551852314601
24;"poun_base_0.4_4";"poun_base_0.4";"Stochastic bad x2";"base";0,4;50;101;0,989279064306648;0,980611854269517;0,998604628504426;0,00448884271440685;0,988044936430434;0,990408291708635;0,985972484089343;0,99244356650791;46,5028869010344;40,263761904753;52,4749044528117;3,48067826185026;45,5242461556786;47,3840724875925;44,0921100074638;49,2028607769376
25;"poun_base_0.4_5";"poun_base_0.4";"Stochastic worst x4";"base";0,4;50;101;0,976698338950254;0,966848816184362;0,990109214112482;0,00488885212886837;0,975380392256928;0,977989670802802;0,973612842556113;0,979325950388419;51,8465039231111;44,5795820633119;61,9203352784228;3,58131788854043;50,8923971678625;52,8127894025286;49,7581487084935;53,8903976327883
26;"poun_base_0.5_1";"poun_base_0.5";"Deterministic";"base";0,5;1;101;1,08624995407359;1,08624995407359;1,08624995407359;NA;NA;NA;1,08624995407359;1,08624995407359;13,5541763014357;13,5541763014357;13,5541763014357;NA;NA;NA;13,5541763014357;13,5541763014357
27;"poun_base_0.5_2";"poun_base_0.5";"Stochastic uniform";"base";0,5;50;101;1,05927433033088;1,04722961850824;1,07032664943866;0,00540187736069328;1,05779454392138;1,06075755505556;1,05549530151499;1,06279696396834;23,1757138303635;17,8391573311695;27,4186090095471;2,46918477617158;22,4962406422582;23,84693566088;21,6758171093663;24,9894354274365
28;"poun_base_0.5_3";"poun_base_0.5";"Stochastic equal";"base";0,5;50;101;1,01940470561972;1,00381360679911;1,03785805414085;0,0070789644503063;1,01752735475094;1,0213922309579;1,01443262438474;1,02443313710476;37,1630529027739;30,0841409845405;47,1874718021326;3,66771712165542;36,2252350048729;38,175270246545;34,627593302559;39,5263500128534
29;"poun_base_0.5_4";"poun_base_0.5";"Stochastic bad x2";"base";0,5;50;101;0,998444544811538;0,98789030216418;1,01256318513854;0,00607040472701111;0,99687391316258;1,00008465039003;0,994182977903281;1,00143967419579;45,0200015611915;37,6202178908694;54,3377498983997;4,10006390418363;43,8819613073389;46,2046886601465;41,7996008927519;47,3864700907207
30;"poun_base_0.5_5";"poun_base_0.5";"Stochastic worst x4";"base";0,5;50;101;0,979962441063429;0,965097301923043;0,992437993652594;0,0060670839201419;0,978253651297727;0,981716468107945;0,977630724915715;0,984738887025917;52,3652533937;43,300487349575;61,500225761781;3,63941131987557;51,3301639269908;53,3535290095017;49,8903638814208;55,0289118278526
31;"poun_base_0.6_1";"poun_base_0.6";"Deterministic";"base";0,6;1;101;1,105452331734;1,105452331734;1,105452331734;NA;NA;NA;1,105452331734;1,105452331734;13,0036618458928;13,0036618458928;13,0036618458928;NA;NA;NA;13,0036618458928;13,0036618458928
32;"poun_base_0.6_2";"poun_base_0.6";"Stochastic uniform";"base";0,6;50;101;1,07455002353489;1,05812940567738;1,0899186343176;0,00584783805118683;1,07291303149817;1,07620734897354;1,07075110299681;1,07875293704666;22,7536988142986;16,3153143125976;28,4462402313086;2,22728653153979;22,1499478700163;23,3522972848789;21,5691849956027;24,2427701351085
33;"poun_base_0.6_3";"poun_base_0.6";"Stochastic equal";"base";0,6;50;101;1,03146342830748;1,00892659688755;1,0494855813836;0,00861032023540281;1,02890321332266;1,03378974524671;1,024586225866;1,03709886940583;36,3552567503757;28,3585438822428;47,1277167262053;3,69338705976248;35,4034066159853;37,3259567336462;34,0210123268935;38,1134831382774
34;"poun_base_0.6_4";"poun_base_0.6";"Stochastic bad x2";"base";0,6;50;101;1,00323179952313;0,983809133810753;1,0193243723525;0,00779231722351873;1,00126221556272;1,00542573412625;0,998812167437222;1,0083644502071;45,9384249842402;35,9520240493125;56,9171654118716;4,17197449791717;44,8476168150657;47,0601007862026;43,3197701487892;48,050308287372
35;"poun_base_0.6_5";"poun_base_0.6";"Stochastic worst x4";"base";0,6;50;101;0,986108614602461;0,970029387565523;1,00297666513154;0,00644016524676091;0,984458084853632;0,987844672497588;0,981570606848225;0,990394889593862;51,0505760759958;42,0137515107076;59,0981919386265;4,02257078906673;49,9545649160438;52,0819628798575;48,0045923638589;53,8368502597005
36;"poun_base_0.7_1";"poun_base_0.7";"Deterministic";"base";0,7;1;101;1,12293274265566;1,12293274265566;1,12293274265566;NA;NA;NA;1,12293274265566;1,12293274265566;12,5735729179867;12,5735729179867;12,5735729179867;NA;NA;NA;12,5735729179867;12,5735729179867
37;"poun_base_0.7_2";"poun_base_0.7";"Stochastic uniform";"base";0,7;50;101;1,0906571196831;1,07946244002627;1,10599504326835;0,00624100100350313;1,08899938717344;1,09236060869263;1,08628170363128;1,09559743829431;22,0338994395333;16,9113121789793;29,1772442288259;2,57807517238591;21,2765151241892;22,7290228211133;20,0923374686884;23,7149662812482
38;"poun_base_0.7_3";"poun_base_0.7";"Stochastic equal";"base";0,7;50;101;1,03976942856701;1,02271645838169;1,06341580945841;0,00954346034489549;1,03709481380987;1,04230579835919;1,03343457565492;1,04674506112604;36,4068795354942;29,5018987498373;45,1402434971429;3,7493477799569;35,4088835747583;37,5048033517462;33,5205053518648;38,5567894751514
39;"poun_base_0.7_4";"poun_base_0.7";"Stochastic bad x2";"base";0,7;50;101;1,01152065343756;0,995713884456308;1,03725543180532;0,00879916168830401;1,00919516219983;1,01394160614821;1,00594512421236;1,01646022185723;45,1956826162597;36,2688115929405;53,2240383221603;4,19230006905085;44,1127957661371;46,2781629832252;41,9702619315264;48,2389017943031
40;"poun_base_0.7_5";"poun_base_0.7";"Stochastic worst x4";"base";0,7;50;101;0,986683706622803;0,972617693638854;1,00417335675582;0,00652593454881169;0,984975764038377;0,988567142386072;0,982548168672231;0,989254628303491;52,7695534259898;37,4521789868764;65,1028770567566;4,89270514643045;51,4565640073098;54,144217199068;49,5346522156113;55,7310129223526
41;"poun_base_0.8_1";"poun_base_0.8";"Deterministic";"base";0,8;1;101;1,13902205922838;1,13902205922838;1,13902205922838;NA;NA;NA;1,13902205922838;1,13902205922838;12,2252314334129;12,2252314334129;12,2252314334129;NA;NA;NA;12,2252314334129;12,2252314334129
42;"poun_base_0.8_2";"poun_base_0.8";"Stochastic uniform";"base";0,8;50;101;1,1011451389285;1,08756146298684;1,11514642421207;0,00699730815648401;1,09923500846397;1,10316030102565;1,09608999087034;1,10579544763279;22,2977733045841;15,8865402172997;29,8982485424594;2,5677067907802;21,6281166048798;22,9867516029068;20,8108946244731;23,9001406361066
43;"poun_base_0.8_3";"poun_base_0.8";"Stochastic equal";"base";0,8;50;101;1,04576221649283;1,02821224364416;1,05809661902839;0,00672613698382505;1,04388445836827;1,04754590482185;1,04172990730129;1,04978846450147;36,8033440144868;30,1270022903834;43,5226430146551;3,26145954187962;35,8991477980142;37,6635956175455;34,4220608877118;38,6422934361165
44;"poun_base_0.8_4";"poun_base_0.8";"Stochastic bad x2";"base";0,8;50;101;1,01651812245349;0,995927575585878;1,03657083742861;0,00963518594108063;1,01389889979044;1,01909953284462;1,00952290029999;1,02330076892753;44,6502177483264;34,3340066298312;56,0732839876713;4,3489966957926;43,4246379445099;45,8810605831685;41,4762846813013;47,6592307081649
45;"poun_base_0.8_5";"poun_base_0.8";"Stochastic worst x4";"base";0,8;50;101;0,992238472823192;0,979260827274515;1,01060555396619;0,00789968909722783;0,990071942856146;0,994317049005075;0,985869640810947;0,99762291223498;51,8352410192534;41,7622714668171;60,0162593553099;3,9484458611697;50,7730400182353;52,8646793488807;48,724165401373;54,6914520874371
46;"poun_base_0.9_1";"poun_base_0.9";"Deterministic";"base";0,9;1;101;1,1539600855664;1,1539600855664;1,1539600855664;NA;NA;NA;1,1539600855664;1,1539600855664;11,9353844852362;11,9353844852362;11,9353844852362;NA;NA;NA;11,9353844852362;11,9353844852362
47;"poun_base_0.9_2";"poun_base_0.9";"Stochastic uniform";"base";0,9;50;101;1,11452104552443;1,09643695921699;1,13132147720225;0,00700327023388585;1,11261076936198;1,11638088306722;1,11023027745021;1,12012633365479;21,9277904770993;15,4554555883647;28,2461289995713;2,38353414756161;21,3064085196113;22,5652760170079;20,7001622912797;23,5611494754599
