"","Number","Question","Answer1","Answer2","DOI","Year","Author","Comments","title","journal","abstract"
"1",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1016/j.biocon.2016.09.016",2016,"Walker","NA","Source-sink population dynamics driven by a brood parasite: A case study of an endangered songbird, the black-capped vireo","Biological Conservation",NA
"2",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1016/j.biocon.2010.12.027",2011,"Rhodes","NA","Using integrated population modelling to quantify the implications of multiple threatening processes for a rapidly declining population","Biological Conservation",NA
"3",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1016/j.baae.2010.11.004",2010,"Sergio","NA","Variation in age-structured vital rates of a long-lived raptor: Implications for population growth","Basic and Applied Ecology",NA
"4",6,"If reported, was the uncertainty complete for all parameters?","yes","standard deviation represents variability in the estimates not variability of data","10.1016/j.envsoft.2016.02.009",2016,"Stratford","NA","Modelling population responses to flow: The development of a generic fish population model","Environmental Modelling &amp; Software",NA
"5",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.5253/078.100.0208",2012,"Bijlsma","NA","Demography of European Honey Buzzards<i>Pernis apivorus</i>","Ardea",NA
"6",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1656/058.013.s505",2014,"Rigby","NA","A Matrix Population Model for Mottled Ducks (Anas fulvigula) of the Western Gulf Coast","Southeastern Naturalist",NA
"7",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1002/aqc.2243",2012,"Foster","NA","Advice in spite of great uncertainty: assessing and addressing bycatch of small fishes with limited data using Stellifer illecebrosus as a case study","Aquatic Conservation: Marine and Freshwater Ecosystems","ABSTRACTTropical shrimp trawlers mostly catch small fish species as bycatch, and commitments to ecosystem‐based management and food supply demand adjustment of such bycatch to sustainable levels. Pragmatic ways to assess and address the impact of nonselective fishing practices on small fishes need to be found, especially given the limited knowledge of their life histories, population dynamics, and ecology.
                          The use of matrix models for understanding and mitigating such impacts is explored using a small fish,
                          Stellifer illecebrosus
                          (silver stardrum) in the southern Gulf of California, Mexico, as a case study.
                        A deterministic matrix model, populated with vital rates generated through six months of fisheries‐dependent sampling, was used to estimate the rate of population growth for the species, conduct elasticity analyses to see which vital rates have greatest relative effects on population growth, test the sensitivity of model outcomes to uncertainties in life history parameters, mortality rates and the number of age classes modelled, and explore potential mitigation tools.
                          Despite great uncertainty regarding the impact of industrial shrimp trawling on
                          S. illecebrosus
                          , principally due to uncertainty in mortality rates but also in other life history parameters, the matrix model was still useful in indicating that any precautionary management should focus on increasing the survival of younger age classes. This could be achieved with trawl closures where smaller fish live.
                        The study demonstrates the importance of understanding age‐based changes in vital rates to the predictions of matrix models; estimated population growth rates were most uncertain when all mature individuals were assumed to contribute equally to recruitment. But nevertheless, the study supports claims that deterministic matrix models may be useful for conservation and management where life history parameters can only be estimated crudely.
                    Copyright © 2012 John Wiley & Sons, Ltd.
                  "
"8",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1155/2011/870853",2011,"Seignobosc","NA","A Demo-Genetic Analysis of a Small Reintroduced Carnivore Population: The Otter (<i>Lutra lutra</i>) in The Netherlands","International Journal of Ecology","
                    Assessing the viability of reintroduced animal populations is a complicated task. Reintroductions are usually carried out with a small number of individuals, thereby, limiting the possibilities for monitoring because of the possible negative effects of intensive monitoring on survival and reproduction. Moreover, reintroduction studies are part of a socioeconomic interplay of forces, thereby, also limiting monitoring possibilities. Also, knowledge of population demography and abundance can be incomplete or unattainable. Here, we illustrate how we combined traditional telemetry and novel non-invasive genetic methodology to construct a detailed life table of a small reintroduced otter population in The Netherlands. Combining an appropriate capture-mark-recapture framework with a matrix modelling approach provides, in general, useful insights for such populations. The data indicated that (i) male survival is lower than female survival, (ii) the reintroduced population is currently growing (estimated
                    λ=1.26
                    : range [1.06, 1.42]) and seems viable, (iii) increasing adult survival is currently the critical stage at which efforts of field managers should concentrate, and (iv) the modelling framework allowed us to determine the boundary conditions for the vital rates under which the population would go extinct. The applied approach directs at measurements that help field managers to implement the right conservation strategy after reintroductions.
                  "
"9",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1111/j.1469-1795.2010.00434.x",2010,"Brodie","NA","Population recovery of black rhinoceros in north‐west Namibia following poaching","Animal Conservation","Abstract
                    Curtailing overharvest, whether illegal or legal, is often a critical conservation objective. Yet even if overexploitation can be stopped, subsequent rates of population recovery can be highly variable due to Allee effects, alterations to age and sex structure and disruptions of animal social systems. Moreover, understanding the influence of density dependence can be difficult but important for long‐term management. Here, we investigate the dynamics of black rhinoceros
                    Diceros bicornis
                    in the Kunene region of Namibia as they recover from illegal hunting. We use multi‐strata mark–recapture models to examine survival and stage‐transition rates from 1992 to 2005. Survivorship estimates ranged from 0.793 for calves to 0.910 for adult males and 0.944 for adult females. The annual reproductive rate in adult females was estimated at 0.315. Model selection showed that these vital rates were time invariant, suggesting that Allee effects and transient dynamics did not have an important effect upon population dynamics, even in the early stages of recovery. Relative population density increased significantly from 1992 to 2005 once illegal hunting had ceased in Kunene. However, the best‐fit models did not include relative density in the estimation of survival or stage‐transition rates. We then used the vital rates generated from our mark–recapture analysis to build matrix projection models that assessed overall population dynamics. The female‐only model gave a population growth rate estimate of
                    λ
                    =1.011. Two‐sex models suggest that the growth rate of the population could range from 0.990 to 1.012. The relatively slow growth rate of this population, even without hunting or density dependence, could stem from the low productivity of the region. Adult females had the highest reproductive value and their survival had the highest elasticity among vital rates. Translocating adult females would lead to the fastest initial population growth rate in founder populations but would have the most impact on the source population.
                  "
"10",6,"If reported, was the uncertainty complete for all parameters?","yes","survival reproduction","10.1017/S0376892917000340",2018,"Pickett","standard deviations","Cryptic and cumulative impacts on the wintering habitat of the endangered black-faced spoonbill (<i>Platalea minor</i>) risk its long-term viability","Environmental Conservation","SUMMARY
                    The East Asian–Australasian flyway contains some of the most threatened habitats in the world, with at least 155 waterbird species reliant on the tidal habitats it comprises. The black-faced spoonbill (
                    Platalea minor
                    ) is an iconic endangered species distributed across the coast of East Asia. Its population suffered a severe decline into the 1990s, but extensive monitoring and conservation interventions have aided a substantial recovery of the species. We used a population viability analysis based on data collected over the past two decades in conjunction with species distribution models to project spatially explicit models of population change for the next 35 years. Over nearly all scenarios of habitat loss and climate change, the global spoonbill population was projected to increase in the short-term due to low population numbers likely well below current population carrying capacities. However, climate change and habitat loss together threaten the recovery of the spoonbill population such that, by 2050, population declines are apparent as a consequence of these cumulative impacts. These threats are also cryptic and represent a challenge to the conservation of species recovering from anthropogenic impacts; observed population increases can hide large reductions in habitat suitability that threaten the long-term viability of species.
                  "
"11",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1890/15-0317.1",2016,"BjÃ¸rkvoll","NA","Demographic buffering of life histories? Implications of the choice of measurement scale","Ecology","Abstract
                    Life‐history theory predicts that the vital rates that influence population growth the most should be buffered against environmental fluctuations due to selection for reduced variation. However, it remains unclear whether populations actually are influenced by such “demographic buffering,” because variation in vital rates can be compared on different measurement scales, and there has been little attempt to investigate whether the choice of scale influences the chance of detecting demographic buffering. We compared two statistical approaches to examine whether demographic buffering has influenced vital rates in wild Svalbard reindeer (
                    Rangifer tarandus platyrhynchus
                    ). To account for statistical variance constraints on vital rates limited between 0 and 1 in analyses of demographic buffering, one approach is to scale observed variation by the maximum possible variation on the arithmetic scale. When applying this approach, the results suggested that demographic buffering was occurring. However, when we applied an alternative approach that identified statistical variance constraints on the logit scale, there was no evidence for demographic buffering. Thus, the choice of measurement scale must be carefully considered before one can fully understand whether demographic buffering influences life histories. Defining the appropriate scale may require an understanding of the mechanisms through which demographic buffering may have evolved.
                  "
